id,person,start_date,end_date,name,level
1213,480,27/06/2022,,ASSISTENTE FISCAL II - NÍVEL 1,ASSISTENTE
1209,476,09/05/2022,,ASSESSOR DE RELACIONAMENTO E NOVOS NEGÓCIOS JÚNIOR - NÍVEL 2,ASSESSOR
1212,479,25/04/2022,,ANALISTA DE GENTE E GESTÃO JÚNIOR - NÍVEL 3,ANALISTA
1210,477,18/04/2022,,ASSISTENTE FISCAL I - NÍVEL 2,ASSISTENTE
1211,478,04/04/2022,,ASSISTENTE FISCAL I - NÍVEL 2,ASSISTENTE
1214,481,17/03/2022,,ASSISTENTE DE GENTE E GESTÃO II - NÍVEL 1,ASSISTENTE
686,139,01/03/2022,,ASSESSOR DE RELACIONAMENTO DE NOVOS NEGOCIOS JUNIOR - NIVEL 5,ASSESSOR
473,86,21/02/2022,11/03/2017,ASSISTENTE RELACIONAMENTO E NOVOS NEGOCIOS III - NIVEL 3,ASSISTENTE
666,135,21/02/2022,,ASSISTENTE DE RELACIONAMENTO E NOVOS NEGOCIOS II - NIVEL 3,ASSISTENTE
483,89,04/01/2022,,ESTAGIARIO,ESTAGIARIO
665,133,04/01/2022,,GERENTE JURIDICO PLENO - NIVEL 3,GERENTE
1187,328,03/01/2022,,ADVOGADO PLENO - NÍVEL 4,ADVOGADO
622,120,22/11/2021,,ADVOGADA SENIOR - NIVEL 3,ADVOGADA
570,113,26/10/2021,,ASSISTENTE FISCAL I - NIVEL 1,ASSISTENTE
522,99,18/10/2021,,ANALISTA DE INTELIGENCIA DO NEGOCIO JUNIOR - NIVEL 1,ANALISTA
462,83,13/10/2021,,ANALISTA CONTABIL PLENO - NIVEL 3,ANALISTA
651,128,13/10/2021,,ANALISTA FISCAL JUNIOR - NIVEL 1,ANALISTA
461,82,27/09/2021,,ASSISTENTE FISCAL I - NIVEL 4,ASSISTENTE
650,127,27/09/2021,,ASSISTENTE FISCAL III - NIVEL 5,ASSISTENTE
569,112,09/09/2021,,ASSISTENTE JURIDICO I - NIVEL 1,ASSISTENTE
484,90,08/09/2021,,ASSISTENTE CONTABIL III - NIVEL 4,ASSISTENTE
534,103,23/08/2021,,ASSISTENTE FISCAL I - NIVEL 1,ASSISTENTE
540,105,23/08/2021,,ASSISTENTE FISCAL I - NIVEL 1,ASSISTENTE
1151,311,23/08/2021,04/02/2022,ASSISTENTE FISCAL I - NÍVEL 4,ASSISTENTE
450,79,01/08/2021,,ASSISTENTE FISCAL II - NIVEL 1,ASSISTENTE
460,81,01/08/2021,,ANALISTA FISCAL SENIOR - NIVEL 2,ANALISTA
470,84,01/08/2021,,ANALISTA FISCAL MASTER - NIVEL 1,ANALISTA
481,88,01/08/2021,,ANALISTA FISCAL JUNIOR - NIVEL 5,ANALISTA
493,91,01/08/2021,,COORDENADOR FISCAL PLENO - NIVEL 1,COORDENADOR
495,92,01/08/2021,,ASSISTENTE FISCAL III - NIVEL 4,ASSISTENTE
503,95,01/08/2021,,ASSISTENTE CONTABIL II - NIVEL 5,ASSISTENTE
520,97,01/08/2021,,ANALISTA FISCAL MASTER - NIVEL 1,ANALISTA
526,100,01/08/2021,,ANALISTA FISCAL JUNIOR - NIVEL 5,ANALISTA
544,106,01/08/2021,,ANALISTA FISCAL JUNIOR - NIVEL 4,ANALISTA
549,107,01/08/2021,,ANALISTA FISCAL JUNIOR - NIVEL 1,ANALISTA
559,108,01/08/2021,,ASSESSOR DE GENTE E GESTAO PLENO - NIVEL 4,ASSESSOR
567,111,01/08/2021,,ANALISTA FISCAL PLENO - NIVEL 1,ANALISTA
577,114,01/08/2021,,ANALISTA DE INTELIGENCIA DO NEGOCIO PLENO - NIVEL 1,ANALISTA
597,117,01/08/2021,,ANALISTA FISCAL SENIOR - NIVEL 1,ANALISTA
621,119,01/08/2021,,ANALISTA FISCAL SENIOR - NIVEL 2,ANALISTA
628,121,01/08/2021,,ANALISTA FISCAL PLENO - NIVEL 1,ANALISTA
636,122,01/08/2021,,ANALISTA FISCAL MASTER - NIVEL 1,ANALISTA
644,123,01/08/2021,,ANALISTA FISCAL SENIOR - NIVEL 1,ANALISTA
656,130,01/08/2021,,ASSISTENTE CONTABIL III - NIVEL 1,ASSISTENTE
662,131,01/08/2021,,ANALISTA FISCAL JUNIOR - NIVEL 1,ANALISTA
